start_time,end_time,speaker,text
3.035,24.047,N/A,Before it's pretty good
32.262,34.054,N/A,Congratulations.
82.668,86.473,N/A,"So at this point, all we're going to do is do our little presentations."
86.994,88.536,N/A,So we all made little presentations.
88.596,90.419,N/A,"Remember, we're all in different places."
90.499,93.343,N/A,"So our strings are all different, and that's OK."
93.363,94.184,N/A,That's the whole point.
94.965,96.908,N/A,So we've got a few that are linked.
96.928,100.272,N/A,And then we've got one other computer we're going to plug in in just a minute.
101.173,103.517,N/A,It looks like we're still looking for some nice photos here.
103.537,105.199,N/A,"Oh, there's a bag."
165.845,179.309,N/A,"looked at the Simpsons Diversity Index, we were treating our lawn as one site, and we were treating our quadrats as random samples within that one site."
179.59,185.44,N/A,So if we were to compare the Simpsons Diversity Index of the Tremont Institute
208.488,213.395,N/A,"For all the groups, we averaged them."
213.415,215.258,N/A,"We found our standard deviation, our standard error."
215.859,218.142,N/A,And this is our first one.
218.162,237.55,N/A,"So if you treat each of our groups as part of the whole, and you just take a look at the lawn as one location, we went with the average as our number of individuals of a species."
238.947,240.451,N/A,"four or something, I don't remember."
241.132,242.315,N/A,And so we went with our average.
242.716,251.497,N/A,"And you take a look here, you can see that these purple bars, these standard deviations, are pretty large because of these little guys."
253.742,254.965,N/A,So what do we do?
258.472,270.443,N/A,as outliers and we just filtered through the information from everyone else's because ours was so kind of skewed a little bit.
270.784,277.811,N/A,So we just took in the average of the other remaining groups and we came up with the Simpsons index of five there.
278.371,286.639,N/A,"Additionally, we calculated the Simpsons index for just our data as well and we came up with what was it 3.4."
315.509,342.141,N/A,off kilter and also in addition to that like our know our number count or species count was just relatively high compared to everyone else's so it could have been but because we counted them more individually instead of like clumping them together as a group or cluster so that could have been another measurement of error and so taking a look at this this is something that even my AP students struggle with is throwing out
342.931,349.56,N/A,"data that, I hate to say bad data, but incongruent data."
349.941,364.922,N/A,"And so these incongruent points are something that you need to look at, sometimes they're really important, but when you're trying to look at a big data set, throwing out outliers is an important skill."
364.942,372.432,N/A,"Being able to pick ones that, okay, there's something weird, we need to go back and we need to reassess what's going on here, but for this,"
378.132,382.857,N/A,"And you can see our standard error, our standard deviation drops way, way down."
383.998,384.278,N/A,I mean.
385.439,386.6,N/A,Yeah.
386.64,387.161,N/A,Before and after.
387.841,394.888,N/A,"So one thing I want to address real quick, because of the difference in the Simpson's diversity index versus the Simpson's inverse diversity index."
394.928,398.912,N/A,So we've talked about multiple different formulas that can all be used to get diversity.
399.112,405.979,N/A,"Krebs and I, and we've just talked with all of everyone, we really want to put together each of these formulas that we use differently."
424.943,428.822,N/A,"The closer you are to one, the more diverse your system is."
428.982,429.987,N/A,It compares it to itself.
430.269,432.439,N/A,"So one is perfect diversity, every individual is."
468.869,469.565,N/A,going on there.
469.647,470.712,N/A,So like the middle school.
508.154,509.811,N/A,Mm-hm.
595.229,596.491,N/A,That's what I'm remembering.
596.511,597.132,N/A,This might be off.
597.152,599.715,N/A,I think that sounds right from when I did my Google search.
599.735,603.481,N/A,"Like, 0.8 in a solid instance considers good diversity under 0.8, 0.7."
603.521,604.362,N/A,There is a scale for it.
604.382,606.465,N/A,You're getting kind of sketchy and under 0.7.
606.485,608.868,N/A,"You're like, look, there's not a whole lot of diversity here."
608.888,609.69,N/A,That's helpful.
609.71,611.252,N/A,I would say there's a whole Google scale.
611.272,613.395,N/A,"If you Google what does it mean, it'll tell you."
614.076,614.316,N/A,Sweet.
614.577,616.219,N/A,Love it.
616.239,619.464,N/A,"Yeah, I guess just I think those are great next directions."
620.225,623.329,N/A,It makes me think about different kinds of things
624.98,635.435,N/A,It's almost different designs for studies where like one design is let's try to just basically describe or estimate a value for something.
635.455,637.138,N/A,Another is more like correlational.
637.198,639.241,N/A,Let's see how this relates to this.
639.261,640.703,N/A,Still another is like a mean difference.
640.723,642.426,N/A,Like let's see if these two sites are different.
643.307,643.627,N/A,And so.
644.509,645.37,N/A,And then like over time.
645.65,645.951,N/A,Over time.
646.011,648.314,N/A,And that's what we're talking about with this formula sheet.
648.374,648.615,N/A,Yeah.
649.977,651.679,N/A,So I think
