start_time,end_time,speaker,text
0.841,4.284,N/A,Here's some background information about us.
4.304,5.725,N/A,"We've already introduced ourselves, though."
5.886,6.967,N/A,I think we can skip this slide.
6.987,7.567,N/A,I think we're good.
7.587,8.468,N/A,"Yeah, I think we know each other."
8.508,15.755,N/A,"All right, so everyone hopefully has a shoulder partner."
15.775,18.797,N/A,"Designate who your shoulder partner is going to be, so make sure everyone has one."
19.338,21.22,N/A,Does everyone have a shoulder partner to talk to?
21.26,21.94,N/A,You've got two.
21.96,22.501,N/A,You've got two.
22.521,24.062,N/A,We need a shoulder partner if you don't have one.
24.242,25.644,N/A,Can you guys wait for your shoulder partners?
26.064,28.266,N/A,Or maybe give a high five to your shoulder partners.
30.237,50.12,N/A,These are the two prompts that we just want to discuss right now.
50.18,52.583,N/A,Just have you collected data with your students and
52.563,54.707,N/A,That's pretty much a yes or no.
55.208,56.67,N/A,And then like what do you do with the data?
56.69,58.233,N/A,So turn and talk.
58.293,63.222,N/A,Could you hold correct for just a second?
63.302,66.167,N/A,You get one minute.
68.411,73.099,N/A,Starting now.
73.139,75.904,N/A,We use trail hands and we do live.
75.884,92.847,N/A,"So we do collect on, like, what do we, like, this past fall semester more slow than we've ever trapped and I had the pleasure of writing it."
95.594,100.499,N/A,That is never happened in 20 years.
100.7,104.284,N/A,That is great.
104.304,116.998,N/A,"I mean, literally, we have never, and normally when we trap scum, it's spring semester more so than fall semester."
117.058,118.159,N/A,I don't.
118.139,130.19,N/A,"The fact that we had so many, to the point that I'm thinking of setting the charts and keeping them open, because it was just too much time to release them."
130.21,131.03,N/A,It was brave.
131.11,132.131,N/A,All right.
133.172,135.074,N/A,So we'll do just two people share out.
135.134,138.277,N/A,"First of all, check out this art over here that I just noticed."
138.297,141.339,N/A,Because they put that floor down to cover it up.
141.359,142.3,N/A,Does anyone know who did that?
143.241,143.501,N/A,Yes.
144.782,145.183,N/A,Who did it?
145.763,147.825,N/A,"Well, this is our email."
150.151,154.679,N/A,"over on the dorm steps, on the far steps, if you go up those steps up to the upstairs."
155.701,157.665,N/A,But it's Deborah Cook is her name.
157.685,164.317,N/A,She's a retired high school teacher from Ohio who has been our summer artist in residence at Tremont for the last 17 years.
164.338,170.108,N/A,She comes down every summer and does amazing calligraphy and marker art.
170.329,173.695,N/A,"You'll see also on the flight board down in the dining hall,"
180.391,182.893,N/A,"All right, who has collected data with their students?"
185.977,186.978,N/A,"All right, that's a yes or no."
188.099,190.341,N/A,What do you do with the data if you have collected it?
190.601,192.843,N/A,I've collected data before and I did nothing with it.
194.505,195.446,N/A,But if we collected it.
196.207,199.03,N/A,"So, the question is, what do you do with it?"
199.17,199.71,N/A,"Go ahead, Jen."
199.73,204.575,N/A,"I'm volunteering her to share her story, because I thought it was a really good example of student gathered data."
205.596,207.478,N/A,"Oh, we gathered the data."
208.302,215.511,N/A,"So in the wildlife class, we're fortunate on our campus to have like a three and a half acre wooded lot."
216.052,221.82,N/A,"And so with the wildlife class, we do a live trap and release unit."
222.881,235.137,N/A,"And out of 20 years of doing this, never have I trapped more skunks in one semester than I did last fall."
235.403,240.128,N/A,to the point we've had to move where we store the traps because they smelled so bad.
241.129,243.492,N/A,I now have dedicated skunk shoes.
244.653,253.963,N/A,And so I'm wondering what in the world is going on that we had 16 skunks trapped within a three day period.
255.124,262.272,N/A,And obviously you can't mark them to see if you're capturing the same ones over and over.
263.078,275.147,N/A,"But I'm wanting to know, I don't know what to do with that data other than figure out how not to get sprayed."
275.752,277.875,N/A,to release all of them safely.
279.236,283.001,N/A,"But I'm really wondering, I've collected this data and skunks."
284.083,292.974,N/A,Why suddenly do we have so many to the point we're not capturing other animals at the rate that we normally do?
293.895,295.437,N/A,So that's what I've collected.
295.517,296.919,N/A,"Now, what do I do with that?"
298.521,299.903,N/A,Not get sprayed.
300.17,304.535,N/A,"Top priority, but I don't know what to do with it yet, other than."
304.555,306.137,N/A,I love that you started with a question.
306.157,307.178,N/A,"Yeah, you already did something."
307.198,308.34,N/A,You asked your question.
308.46,309.441,N/A,Why is this different?
309.601,310.863,N/A,"Yeah, so what is happening?"
310.883,311.484,N/A,What is different?
311.504,312.725,N/A,"What is, yeah, totally."
312.745,315.388,N/A,"So that's part of the process right there, is just asking the question, right?"
315.408,316.449,N/A,"And then like, what do you do with it?"
317.771,317.871,N/A,Yeah.
317.891,318.091,N/A,Good call.
318.312,318.652,N/A,Yeah.
318.672,319.193,N/A,That's insane.
319.813,320.594,N/A,That's a good story.
320.634,323.077,N/A,Three and a half acres.
323.558,324.239,N/A,"All right, so."
324.839,327.282,N/A,And who else?
327.342,328.604,N/A,What do you do with the data?
328.624,329.485,N/A,Does anyone do anything?
330.663,337.454,N/A,"So in my eighth class, when we collect data, we'll do bubbles for survivorship curves."
337.474,338.375,N/A,"Yeah, I've done that with them."
338.395,341.961,N/A,"And we'll count cars, we'll file like the Shannon Wiener index."
343.303,346.168,N/A,"We throw up your Google Sheets, graph it, see what it looks like."
346.188,347.229,N/A,"Yeah, cool."
347.249,347.89,N/A,Analyze it from there.
348.01,350.414,N/A,"Good, so using Google Sheets, definitely, yeah."
350.514,354.02,N/A,"Most students are kind of comfortable with Google Sheets now, at least to some extent."
354.04,358.527,N/A,"This problem, kind of work through it."
358.81,361.874,N/A,"Some practice graphing, or like with mindless data, too."
362.455,365.139,N/A,"Should like, hey, let's practice using Google Sheets and stuff like that."
365.159,365.399,N/A,Nice.
366.721,366.821,N/A,Cool.
366.841,369.024,N/A,Has anyone else done that bubble survivorship curve thing?
370.526,373.069,N/A,It's really fun to watch your kids try and keep the bubbles alive.
375.112,375.673,N/A,But yeah.
376.614,377.215,N/A,All right.
378.036,378.397,N/A,What else?
378.417,380.059,N/A,Anyone else want to share anything?
384.95,385.811,N/A,Yeah.
385.831,398.331,N/A,"Using various salt solutions to figure out the starch content of the potato and graph it and try and figure out what the esotomic point is based off of just, you know, like four data points."
398.691,399.092,N/A,Nice.
399.532,401.095,N/A,Do you use mass?
402.116,403.178,N/A,Or what do you...
406.735,407.756,N/A,"All right, anyone else?"
407.876,414.205,N/A,We need to do the catalase lab with hydrogen peroxide and see how much foam is created and then we'll draft that.
414.225,414.585,N/A,Cool.
414.605,415.366,N/A,Do you feel the sheets?
416.928,417.609,N/A,They did it by hand.
418.19,418.51,N/A,"Okay, cool."
419.091,419.191,N/A,Nice.
419.211,420.673,N/A,"Yeah, that's good to practice too."
421.554,421.935,N/A,All right.
421.955,423.677,N/A,I think we're good.
424.217,424.598,N/A,Let's roll.
425.659,425.86,N/A,Uh-oh.
428.163,429.685,N/A,There's another question at the bottom here.
430.526,434.751,N/A,What challenges have you encountered?
435.946,442.182,N/A,The challenges are getting the kids to know how to use Google Sheets and different things.
442.302,443.305,N/A,"Absolutely, yes."
443.946,445.029,N/A,Technology.
445.43,446.192,N/A,"Well, freshmen."
446.352,447.475,N/A,"Freshmen, okay, yeah."
448.417,451.862,N/A,But even my upperclassmen are resistant to Google Sheets at first.
451.882,460.295,N/A,"Like, until they do that first, like, formula row and they see all that calculation just magically happen and then they're, you know, kind of sold on it."
460.315,460.675,N/A,"Yeah, yeah."
460.856,468.347,N/A,"When they're fumbling through learning how to do the dollar signs to hold sales and stuff like that and all the magic that it takes, I just really resist it."
468.367,470.39,N/A,"I'm like, I can hand-calculate this."
470.41,471.471,N/A,"Quickly, I'm like, no you can't."
471.592,473.394,N/A,"But I promise, just stay with me."
