start_time,end_time,speaker,text
0.031,21.082,N/A,We have a CS class at the middle school and that's what our kids are required to use.
23.205,24.267,N/A,It's like
24.247,25.531,N/A,It could be cute.
25.912,27.536,N/A,It's like a little game.
27.556,40.011,N/A,It's like you gotta get the little guy to lay the egg.
39.991,43.537,N/A,"I'd give you observations last year, do the team rubric observations."
44.098,47.904,N/A,And one of the classes I had to observe was our computer science teacher.
48.525,53.273,N/A,"And I would go in with the rubric and be like... And he's not allowed to make any of his own lessons, right?"
53.293,57.82,N/A,"They just have him go on Kira, and the kids log on to Kira, and that's the whole class."
57.88,61.466,N/A,"It's like they log in to Kira, and they do the Kira lessons."
61.687,64.311,N/A,"And I'd be like, yeah, they are..."
64.291,66.336,N/A,This is gamified learning.
66.557,68.321,N/A,That is a check on the room.
68.862,69.865,N/A,That's a five in my book.
69.885,74.376,N/A,"That's a five in my book, so I really admire any way you do that."
74.436,75.398,N/A,I should be doing that.
75.547,78.35,N/A,"Yeah, I totally bounced from that."
78.45,82.234,N/A,"I was telling her, I bounced from that to code.org, make code."
82.314,83.595,N/A,Make code.
83.615,85.617,N/A,Have you used Tinkercad at all?
85.677,86.678,N/A,"Yes, we use Tinkercad."
86.739,94.306,N/A,"When the 3D players were up and running, we really used it for the 6th graders, but they used Tinkercad just to design stuff."
94.406,96.829,N/A,"And I said, next year, the 7th, you'll get to use it."
96.929,98.33,N/A,"And they're like, yay."
98.451,99.271,N/A,"And I'm like, great."
99.352,101.594,N/A,One less thing to deal with using Tinkercad.
101.694,102.735,N/A,I think they used code.org.
104.842,106.925,N/A,The kids don't like it.
106.945,109.049,N/A,I already know they hate it.
109.069,110.071,N/A,They hate it.
110.451,113.897,N/A,And I also take my kids out to the garden too sometimes.
114.218,116.682,N/A,Take us over to the garden and kill time.
117.403,120.488,N/A,There was a really neat...
120.468,124.732,N/A,It was with someone who works at UT.
125.153,133.161,N/A,They did a cohort of how to use computer science in other subjects besides just computer science.
133.581,139.947,N/A,We used MakeCode and used the little hummingbird kits.
140.007,141.509,N/A,Have you heard of these?
141.709,147.555,N/A,"Yeah, so it's like a little circuit guy and"
149.459,159.663,N/A,And so it's like a little circuit and it's called a hummingbird.
159.843,167.822,N/A,It connects to MakeCode and you can program it on the MakeCode website.
167.802,172.667,N/A,"And then you plug it in, like plug the hummingbird into the Chromebook."
172.747,176.912,N/A,"And it talks, the Chromebook talks to the hummingbird."
176.932,179.895,N/A,And it can do a lot of different things.
180.215,183.799,N/A,"So like, the hummingbird has like an 8-bit LED."
183.819,187.983,N/A,"It's like just 8 little LED lights, right?"
188.083,194.35,N/A,And you can code it to make a message and flash a sign or like a happy face.
194.667,198.953,N/A,or you can connect a motor to it and it'll do different things.
200.175,212.411,N/A,"And that was, my kids really enjoyed doing that because it was like, it's very different from Kira, whereas Kira is like, you need to get the duck to the egg."
212.932,218.7,N/A,"Whereas with MakeCode, I could be like, you can do literally anything."
218.68,239.203,N/A,"at all with this website and they enjoyed that a lot because they had the foundation of computer science that someone had already taught them, not me because it didn't go with my standards that good, but like when we did our biomes unit and so we made a soil humidity"
239.183,240.105,N/A,Tester.
240.967,248.081,N/A,And all it is is like if there's water present in the circuit then it closes the circuit and then the light turns on.
248.121,254.053,N/A,And if there's no water in the soil then the light won't turn on because it doesn't close the circuit.
254.754,256.618,N/A,And we did that and it was like
256.598,259.162,N/A,"Computer science, but it was also science."
259.202,260.324,N/A,It was like a bios lesson.
260.504,274.907,N/A,"Um, and it was it was a water sensor So I would look into that and we got a grant and I have a class that Like 25, you know, I have 16 maybe 12."
275.408,278.353,N/A,So they would share like once a while
280.443,296.983,N/A,don't know.
