start_time,end_time,speaker,text
4.672,16.437,N/A,So I went to move a planter in my front yard and there was a skink under it and the skink wouldn't move.
28.465,31.851,N/A,I fixed it.
31.891,54.287,N/A,It's labeled properly now.
60.528,62.531,N/A,all seniors so some of them may be 18.
63.252,79.954,N/A,Yeah I think first of all teaching a research class sounds amazing and the limitations piece I feel like there's so like so many people that could come in and talk to a class about like what that actually looks like to what it means for me to do
99.847,129.82,N/A,I found a whole bunch of them.
136.229,136.509,N/A,Yeah.
138.031,139.293,N/A,"I was looking at the toes, too."
150.108,151.99,N/A,I feel like I should be capturing this cover.
152.291,160.041,N/A,This guy has not fully developed.
160.061,163.806,N/A,"He has gills, like an axolotl."
164.208,180.09,N/A,I'm just so excited.
189.689,207.816,N/A,He's like I need to see their limitations.
226.612,231.795,N/A,I mean honestly
253.932,270.113,N/A,"Yeah, I know a number of professors, probably, I know some of them in the Ed school, but I can't see the people that would want to come and talk to you."
270.133,277.543,N/A,"Yeah, I would love to have somebody who's history, history, psychology versus science versus media."
302.903,313.748,N/A,"I guarantee, like, David's actually a really good person at just bold emailing professors."
313.768,317.957,N/A,"And they're pretty responsive, right?"
317.977,320.423,N/A,"Biology department, English department, I guarantee."
338.02,340.684,N/A,I don't know if I got them.
340.904,347.793,N/A,Is that an F?
347.813,349.335,N/A,What are they referring to?
349.495,350.216,N/A,They're F?
350.897,357.927,N/A,"I think we're ready, guys."
357.947,358.107,N/A,Too bad.
358.287,362.593,N/A,"Can you teach, when you kind of teach a research-based"
363.518,364.479,N/A,That's my focus.
365.58,368.203,N/A,"I don't try to, dude, standards come secondary to me."
369.324,370.525,N/A,I kind of make up my own thing.
372.987,391.365,N/A,I try to capture your conversation.
403.732,405.434,N/A,Get some of that salamander water.
405.454,430.11,N/A,So it has one spot like on it's like
431.845,434.729,N/A,"like on its bottom side, the ventral side."
435.169,446.424,N/A,"And it has two more spots, two more spots closer to its tail, right where its hind legs are."
446.445,456.358,N/A,"And those two spots are vertically placed, one behind the other."
457.68,461.785,N/A,"So one's closer to the abdomen, the other one's closer to the hind legs."
467.249,475.219,N/A,"And the one, like the first one, is basically just below the head where the front legs are in the middle."
477.302,477.682,N/A,Yeah.
480.166,483.51,N/A,"So the blacks, the first black spot, so there's three of them, right?"
483.55,493.763,N/A,"Two closer to the... Three, two are closer to the tail end and one's closer to the head end."
497.793,500.237,N/A,Mm-hmm.
502.341,506.729,N/A,And then we have two beady black eyes on top.
509.454,520.915,N/A,"And it seems from like the backside, looking top down on the... It's hard now."
530.935,542.554,N/A,"Okay, so then on the top head, I see two lines."
545.459,556.437,N/A,"Yeah, that two lines running kind of laterally along its backside or dorsal side."
564.77,568.036,N/A,And it has two legs.
569.959,582.441,N/A,Let's see if I can count the toes.
589.475,597.724,N/A,I see three toes.
598.264,604.911,N/A,Let me use this lens.
605.051,615.162,N/A,"You can also, you want to peek?"
620.845,627.956,N/A,It's so hard to see the toes.
627.996,633.804,N/A,"Come on, show me a toe."
637.79,640.955,N/A,My arms got tired.
641.075,648.546,N/A,You want to take a look?
648.747,649.688,N/A,"Here, you can do the rest."
651.136,652.811,N/A,You wanna try and see if you can count the toes.
652.851,655.999,N/A,Maybe I'm just vision impaired.
682.878,688.145,N/A,"Yeah, like I was thinking three but then I thought I saw five."
690.708,693.632,N/A,Three in the middle and then two legs.
694.693,702.203,N/A,What?
705.17,732.848,N/A,Did you measure it?
735.764,747.762,N/A,I think it's thumbnail length.
749.785,764.607,N/A,"You might not be ready yet, but there when you're ready."
764.688,782.549,N/A,No gills on neck.
784.712,786.814,N/A,Go to two.
787.621,793.868,N/A,"Body brown or black overall may have light stripes or spots, but most of the body is dark colored."
793.888,796.03,N/A,Ours is light colored.
796.711,797.412,N/A,Go to four.
797.472,799.694,N/A,It's a dusky.
800.615,808.944,N/A,"Okay, is body yellowish or golden, long and slender, two black stripes down back."
810.446,812.709,N/A,That'd be a blue ridge two-line salamander.
813.269,814.451,N/A,Or if body's reddish.
815.552,817.594,N/A,I don't think it's reddish.
822.367,827.952,N/A,Where is this supposed to be reddish at?
827.972,829.294,N/A,Just says body reddish.
830.515,831.816,N/A,"So if it's reddish, you go to five."
831.996,835.079,N/A,"Red, orange, purple, or brownish with black speckles over back."
835.619,838.022,N/A,Dark lines from eyes to nostrils.
839.163,846.97,N/A,"Reddish to brown red, sometimes deep purple to blackish with black speckles all over the body, black chin, eyes yellow, or gold."
848.872,851.074,N/A,That one doesn't say eyes.
856.049,857.351,N/A,That's where I'm leaning.
858.472,861.897,N/A,"But I don't know, you wanna look at its dorsal side, that back side again?"
866.343,867.926,N/A,Two black stripes down the back.
872.412,882.366,N/A,"I think there were lines, but I don't know if they're... Okay, let's look at, that's a good idea."
884.108,885.33,N/A,Maybe larvae will help.
886.492,888.896,N/A,Toes have black tips.
896.028,903.26,N/A,"Tips of toes, same color as rest of toe and foot, go to seven."
904.202,911.875,N/A,Rounded snout gills are like finger rather than feathery plumes.
921.98,945.213,N/A,I'm reading the other options just to see if we can rule them out.
947.516,949.519,N/A,"We don't see any guild, right?"
949.699,951.902,N/A,We don't have guilds.
953.671,955.153,N/A,So it's past that stage.
955.693,960.939,N/A,"So I think it is kind of like a adolescent, maybe it's hard."
960.959,964.282,N/A,They're tiny and sometimes not visible unless you view the salamander in water.
966.325,981.501,N/A,"So I think ours is a little older because... I feel like that's a two line, because that's those two lines."
981.903,995.463,N/A,"chosen to key it out, then you and your buddy may say farewell to your salamander."
995.483,997.906,N/A,"Now to release your salamander, you're going to take it back to you."
998.888,1000.891,N/A,Can folks pause conversation for a second?
1000.911,1002.493,N/A,I want to make sure you hear this first.
1003.604,1026.27,N/A,release your salamander because it is so important that we get them back in a really safe manner so when you are ready to release even if that's not yet you're going to take your bag and this even though it's holding the ph kit is going to stand in for my bag and i'm going to take my salamander back to the cone before i open the bag so that they you know don't jump out on the way
1026.622,1035.731,N/A,"I'm going to kneel down by the cone, and I'm going to gently invert the bag and shake my salamander loose right next to the cone that's marking the place that I found them."
1035.751,1044.859,N/A,"I am not going to pick up the rock they were under, replace salamander, and then put rock back on top because possible squish."
1044.879,1050.284,N/A,We're going to drop them off at their door and let them go home in their own time.
1050.925,1056.51,N/A,Then you can double check that that bag is empty before you bring the empty bag back to me.
1057.418,1064.404,N/A,"You're going to leave the cone in place, so don't bring the cone back yet."
1064.424,1067.627,N/A,Leave the cone in place.
1067.647,1072.672,N/A,And so that we can take data from it.
1072.692,1075.755,N/A,"So, yes, if you're still sketching or still feeding out, feel free to continue those."
1075.895,1084.843,N/A,"When you're ready, you and your buddy may take your salamander home."
1085.6,1109.953,N/A,"The Blue Ridge, if you agree."
1112.819,1115.682,N/A,"Body yellow is your golden, long and slender, two black stripes."
1117.745,1131.721,N/A,"I don't think it's long and slender yet, but it does have those two black stripes."
1132.221,1138.328,N/A,Yep.
1138.348,1141.712,N/A,"Sure, you wanna return the..."
1194.443,1198.285,N/A,"Yeah, it's tiny."
1199.351,1200.336,N/A,Leave the cone we're leaving.
1225.004,1229.45,N/A,"Well, you guys got a big one."
1229.651,1232.755,N/A,It's a little beefy.
1233.736,1235.659,N/A,What do you think it's called?
1237.161,1238.243,N/A,We don't know.
1238.884,1242.028,N/A,John's going to call in some experts to investigate it.
1243.03,1245.213,N/A,"Oh, really?"
1245.233,1246.234,N/A,Yes.
1246.254,1246.755,N/A,A problem?
1247.937,1253.745,N/A,Digestion?
1253.911,1254.351,N/A,Where was it?
1254.371,1256.253,N/A,There's like exacts in there like over here.
1256.854,1261.098,N/A,That's what there's a possibility it could be.
