start_time,end_time,speaker,text
0.183,5.289,N/A,I'll give you this whole like simulation water thing.
7.131,11.597,N/A,I'll find the website and it's young too.
12.177,28.857,N/A,It doesn't really matter because they just need to follow each other.
29.208,31.473,N/A,The term might still follow each other.
31.493,36.244,N/A,Each one that walks is then reinforcing a pheromone.
38.128,39.271,N/A,Where they walk the circle.
40.213,42.238,N/A,Oh here it is.
42.258,47.149,N/A,Now this one's kind of useful.
49.272,71.955,N/A,"I'm impressed you guys can still like think and work hard after Okay, that's how I would feel"
97.433,98.702,N/A,We've already started.
186.55,202.855,N/A,I don't know.
300.085,305.656,N/A,S04 where it talks about how matter and energy moves within an ecosystem.
305.676,313.672,N/A,It looks like they're looking at maybe water quality.
313.692,317.419,N/A,"They're talking about oxygen levels, fertilizers."
363.721,367.285,N/A,I'm looking at Fatima's potato or tomato plant.
420.168,432.946,N/A,"And even if, like, if we had data on this water source that we know is gross, could we compare it to our water source?"
432.966,437.552,N/A,"So have this data, but then also take our own data."
437.613,441.578,N/A,"Well, how does it compare to this one that we know?"
441.919,448.588,N/A,"And then the NGSS, it is the fish dying in the pond, which is under LPSO4."
458.913,485.663,N/A,"The data is either decreased, increased, increased, decreased, so."
486.25,500.142,N/A,But I wonder if we could find a different data set about a pond that's undergoing eutrophication and then compare it to another pond.
827.243,833.892,N/A,"I haven't looked through all of it yet, but there's one in Dated Nuggets called Love That Dirty Water."
835.855,856.002,N/A,"And it's about losing green spaces and putting in homes and businesses, and that essentially, without those green spaces, you lose a lot of natural filtration of the water, and so you end up with more human waste and toxic materials in the water."
855.982,869.468,N/A,"So I wonder if we could think about how and if our waterways connect and look at this, compare our"
894.119,917.402,N/A,"I haven't actually looked at the data for this, so I don't know what there is, what they're looking at."
917.502,924.109,N/A,"They're looking at it as daily flow, which"
933.623,942.132,N/A,that increase in flow would indicate a higher risk that's more likely to have.
1145.084,1150.099,N/A,Thank you.
1347.365,1348.868,N/A,I need a reminder to be a reminder.
1350.07,1350.812,N/A,"Reminder, reminder."
1351.193,1352.956,N/A,I need a reminder to be a reminder.
1352.976,1353.317,N/A,"No, I get it."
1353.337,1355.341,N/A,"And then likewise, I need a reminder to be the reminder."
1355.461,1355.722,N/A,OK.
1357.245,1358.107,N/A,Of the reminder.
1358.187,1360.131,N/A,I'll remind you.
1360.151,1360.411,N/A,"Yeah, thanks."
1360.431,1361.794,N/A,Does it work if it's circular like that?
1361.814,1363.297,N/A,I feel like it drinks that.
1363.317,1364.64,N/A,Like if you remind me to remind you.
1367.025,1368.748,N/A,As long as one of us remembers to remind.
1370.365,1373.434,N/A,I'm never going to remember anything ever again after that.
1375.54,1377.386,N/A,Somebody's got to start it.
1377.446,1380.595,N/A,I'm just realizing that conversation is probably being recorded.
1532.213,1547.86,N/A,The big question of Unit 4 in this particular system is why are so many species declining now while a few seem to be expanding and why does it matter?
1548.741,1552.888,N/A,And it's focused in on coyote populations.
1555.265,1572.841,N/A,"I'm in the BSES curriculum, but I can probably share the focus guide where it has the standards and then it breaks them down down below."
1579.146,1583.23,N/A,Yes.
1583.851,1610.922,N/A,What's your last name again?
1611.239,1639.002,N/A,"Yeah, so I've been looking at lesson, so I'm in unit four, lesson like three, four, six, but it's more like, so this is just like human impact on land use and"
1639.403,1643.63,N/A,"you know, where we've developed and what's been disturbed and that kind of thing."
1646.274,1654.547,N/A,So it has these different scenarios of population growth and carrying capacity.
1657.132,1663.622,N/A,"It doesn't have like the data to go with it, but I think they're"
1663.957,1678.441,N/A,"Again, I haven't gone through all of this, but I think they're, like, looking at this and thinking about, like, what kinds of things might have happened in those situations."
1678.581,1684.11,N/A,"This is talking about studies, like, how do they know where coyotes live?"
1684.13,1685.492,N/A,"So, like, looking at scats."
1693.184,1713.657,N/A,I'm trying to think like could we somehow get local priority data and then also can we look at
1715.645,1725.616,N/A,"you know, kind of looking at just some sort of population study, even like what we did today, of like starting here."
1725.736,1731.763,N/A,"Okay, well now let's look at this population within Knoxville kind of thing."
1732.244,1738.931,N/A,"Right, right."
1739.632,1742.075,N/A,So we sort of practice it that way.
